policy_id,policy_desc_recommendations,support_content_recommendations
R2024072325305,경남콘텐츠코리아랩 콘텐츠 창작 캠프 1차 참가자 모집,경남콘텐츠코리아랩 콘텐츠 창작 캠프 1차 참가자 모집
R2024042222094,경남형 스타트업 액셀러레이팅(초격차산업리그) 참여기업 모집,경남 청년일자리플랫폼 운영사업 취업컨설팅 프로그램
R2024073025523,경남 청년일자리플랫폼 운영사업 취업컨설팅 프로그램,제5회 디지털 신기술 아이디어 경진대회(경남)
R2024050822603,경남 인공지능 AI 면접 체험관(청년·일자리종합센터),경남 관광일자리 잡페어 참가기업 모집
R2024043022389,경남 여성 창업 무료 교육(제로웨이스트 공방),경남 산학협력 중소기업 디자인개발 지원사업(학생 모집)
