policy_id,policy_desc_recommendations,support_content_recommendations
R2024052023011,2024 전남구직자 자격증취득지원,2024 전남구직자 자격증취득지원
R2024052023029,전남중소기업 면접비지원,전남중소기업 면접비지원
R2024073025533,전남 청년성장프로젝트 직장적응지원,전남 청년성장프로젝트 직장적응지원
R2024073025534,신재생에너지 도제&취업패키지 사업,신재생에너지 도제&취업패키지 사업
R2024073125616,전남 청년성장프로젝트 청년카페,전남 청년성장프로젝트 청년카페
